id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
478229345,2,2,2,1.0,35083.3333333333,17541.6666666667,36754.07,18377.035,4871.25,1428.9,0.0,8680.0,0.0,4800.0,2748.48,1725.0,1625.0,0.0,9893.0,982.44
824935596,2,2,1,2.0,42666.6666666667,21333.3333333333,30000.7,15000.35,6984.29,0.0,0.0,7933.0,448.0,9303.2,1593.44,2690.0,750.0,0.0,0.0,298.77
549385244,2,1,1,1.0,15000.0,15000.0,5816.0773,5816.0773,935.3233,0.0,500.0,522.45,50.0,0.0,1411.304,1060.0,600.0,0.0,433.0,304.0
64338930,2,1,1,1.0,65000.0,65000.0,33049.61,33049.61,4334.33,913.63,200.0,15000.0,0.0,0.0,368.05,1000.0,3948.5,5000.0,2035.1,250.0
635779227,2,2,2,1.0,30883.3333333333,15441.6666666667,34307.245,17153.6225,5897.46,0.0,5450.0,12175.0,1909.8,2000.0,771.005,1384.0,900.0,0.0,2814.5,1005.48
995013,2,3,3,1.0,63666.6666666667,21222.2222222222,17778.075,5926.025,2983.37,0.0,0.0,0.0,1519.41,0.0,7099.925,303.1,1280.0,0.0,3464.0,1128.27
459317539,2,1,1,1.0,82666.6666666667,82666.6666666667,79541.0795,79541.0795,4570.9645,2790.685,17450.0,8100.0,3900.0,2944.4,20311.5,1275.0,1125.0,0.0,1818.6,15254.93
712307269,2,5,2,2.5,219833.333333333,43966.6666666667,170018.52,34003.704,1039.2,4330.0,6000.0,6340.0,11000.0,10000.0,3928.0,5000.0,36720.0,58440.0,6495.0,20726.32
474783756,2,1,1,1.0,8233.33333333333,8233.33333333333,24025.57,24025.57,1359.62,519.6,0.0,5136.5,8284.85,6984.0,0.0,596.15,1144.85,0.0,0.0,0.0
489908161,2,1,1,1.0,23166.6666666667,23166.6666666667,27114.9495,27114.9495,2495.812,0.0,240.0,7810.28,752.0,340.9875,4060.83,4112.0,3061.5,0.0,2671.61,1569.93
56586228,2,1,1,1.0,45000.0,45000.0,16023.67,16023.67,1441.89,476.3,4860.0,1600.0,0.0,1052.19,229.49,1000.0,2522.5,0.0,2641.3,200.0
595273507,2,4,1,4.0,25874.0,6468.5,34175.11,8543.7775,6352.11,0.0,700.0,12067.0,173.2,857.6,11991.0,128.0,240.0,1060.0,0.0,606.2
289489373,2,3,2,1.5,106916.666666667,35638.8888888889,98888.2695,32962.7565,6461.0095,0.0,13350.0,21650.0,9383.205,0.0,9119.4,3000.0,3400.0,23500.0,6873.875,2150.78
821129304,2,1,1,1.0,50000.0,50000.0,38113.544,38113.544,2155.474,0.0,0.0,4673.495,3600.0,10200.0,1677.875,5555.0,3676.0,2500.0,2987.7,1088.0
952424651,2,1,1,1.0,54587.5,54587.5,46363.9154,46363.9154,11549.7987,0.0,1300.0,6455.89,10132.8444,9448.3823,2598.0,1780.0,2699.0,0.0,0.0,400.0
793474025,2,1,1,1.0,11000.0,11000.0,12823.079,12823.079,2711.879,0.0,580.0,5800.0,150.0,0.0,562.9,396.5,400.0,0.0,1991.8,230.0
901093133,2,1,1,1.0,10000.0,10000.0,9934.4108,9934.4108,1644.3608,0.0,1230.0,5800.0,112.0,0.0,0.0,996.5,0.0,0.0,151.55,0.0
259744289,2,4,3,1.33,62416.6666666667,15604.1666666667,50021.216,12505.304,5708.672,1554.47,3679.0,25370.38,995.0,1787.0,2555.605,4419.5,1259.5,0.0,2636.97,55.119
618417598,2,4,2,2.0,72049.1666666667,18012.2916666667,111504.2087,27876.052175,16568.2687,0.0,0.0,40200.0,13400.0,16000.0,8946.72,2450.0,6850.0,1200.0,4892.9,996.32
4659407,2,5,1,5.0,51360.0,10272.0,126165.5183,25233.10366,10619.3683,0.0,3800.0,31629.2,7277.42,0.0,9151.57,3870.0,8384.1,25920.0,23741.39,1772.47
768878704,2,2,2,1.0,100466.666666667,50233.3333333333,66200.8585,33100.42925,11303.0753,0.0,4750.0,18992.0,1087.9247,14059.2138,4375.8547,3100.0,2019.0,1200.0,3563.59,1750.2
607108826,2,3,3,1.0,122313.373333333,40771.1244444444,85052.2556,28350.7518666667,8139.8371,995.9,0.0,5950.0,3911.35,2700.0,10917.0335,880.0,12458.5,27480.0,8594.21,3025.425
229035081,2,5,1,5.0,27666.6666666667,5533.33333333333,56981.7018,11396.34036,7499.3868,0.0,2200.0,16751.6,0.0,9210.94,714.45,2212.6,1978.4,13259.92,2598.0,556.405
574891217,2,3,2,1.5,74200.0,24733.3333333333,62636.2269,20878.7423,4328.8742,666.82,1600.0,8201.0,3392.0,8354.38,19174.677,3900.0,640.0,0.0,10198.4167,2180.059
283889157,2,1,1,1.0,37916.6666666667,37916.6666666667,41266.762,41266.762,2699.4086,0.0,400.0,7325.0,6306.4067,0.0,8449.14,1125.0,2625.0,0.0,11905.4,431.4067
196237915,2,1,1,1.0,21166.6666666667,21166.6666666667,18686.3107,18686.3107,977.9305,0.0,730.0,9200.0,2833.2525,0.0,160.0,1500.0,0.0,0.0,3074.3,210.8277
613961214,2,2,2,1.0,35833.3333333333,17916.6666666667,27936.03,13968.015,2143.35,0.0,1560.0,15000.0,0.0,0.0,1346.63,0.0,590.0,0.0,7296.05,0.0
192054516,2,2,2,1.0,75666.6666666667,37833.3333333333,69728.9984,34864.4992,1405.518,430.3154,22110.0,10725.0,720.0,368.05,5263.115,5100.0,10950.0,3564.0,9093.0,0.0
857101344,2,2,2,1.0,32666.6666666667,16333.3333333333,27485.2055,13742.60275,5228.1719,0.0,540.0,13000.0,921.6,0.0,240.0,708.0,1149.5,0.0,3745.45,1952.4836
954970955,2,2,2,1.0,130000.0,65000.0,30076.15,15038.075,5581.37,0.0,0.0,15330.0,5000.0,467.64,1792.62,1080.0,550.0,0.0,216.5,58.02
398631952,2,2,2,1.0,141166.666666667,70583.3333333333,65535.485,32767.7425,10731.905,0.0,3100.0,10760.0,10436.0,16000.0,7526.66,3220.0,1360.0,0.0,649.5,1751.42
